iter	Passed	Remaining
0	193	193541
1	194	97129
2	195	64965
3	196	48862
4	197	39207
5	197	32778
6	198	28165
7	199	24713
8	200	22024
9	200	19873
10	201	18113
11	202	16679
12	203	15457
13	204	14412
14	205	13498
15	206	12695
16	207	11986
17	208	11351
18	208	10783
19	209	10270
20	210	9809
21	211	9389
22	211	9002
23	212	8647
24	213	8322
25	214	8021
26	214	7740
27	215	7483
28	216	7245
29	217	7039
30	219	6848
31	220	6674
32	221	6489
33	222	6317
34	223	6153
35	224	6002
36	224	5853
37	225	5713
38	226	5583
39	227	5455
40	228	5333
41	228	5219
42	229	5108
43	230	5004
44	231	4903
45	231	4810
46	232	4723
47	233	4636
48	234	4553
49	235	4473
50	236	4396
51	237	4322
52	238	4252
53	239	4187
54	239	4120
55	240	4055
56	241	3991
57	242	3931
58	242	3873
59	243	3817
60	244	3763
61	245	3710
62	246	3659
63	246	3609
64	247	3561
65	248	3517
66	249	3479
67	250	3437
68	251	3395
69	252	3353
70	253	3313
71	254	3273
72	254	3235
73	255	3199
74	256	3163
75	257	3128
76	258	3093
77	258	3058
78	259	3025
79	260	2993
80	261	2961
81	261	2931
82	262	2899
83	263	2874
84	264	2850
85	265	2823
86	266	2797
87	267	2772
88	268	2746
89	269	2722
90	270	2697
91	270	2674
92	271	2651
93	272	2627
94	273	2604
95	274	2581
96	274	2559
97	275	2537
98	276	2516
99	277	2497
100	278	2478
101	279	2463
102	280	2445
103	281	2427
104	282	2408
105	283	2389
106	284	2371
107	285	2354
108	285	2337
109	286	2319
110	287	2303
111	288	2286
112	289	2270
113	290	2253
114	290	2237
115	291	2222
116	292	2207
117	293	2193
118	294	2179
119	295	2164
120	296	2150
121	296	2134
122	297	2120
123	298	2106
124	298	2092
125	299	2079
126	300	2064
127	301	2051
128	301	2038
129	302	2025
130	303	2012
131	304	2000
132	304	1987
133	305	1975
134	306	1964
135	307	1953
136	308	1943
137	309	1934
138	310	1923
139	311	1911
140	311	1900
141	312	1887
142	313	1876
143	313	1866
144	314	1855
145	315	1845
146	316	1835
147	317	1825
148	317	1815
149	318	1805
150	319	1795
151	320	1786
152	320	1776
153	321	1767
154	322	1759
155	323	1750
156	324	1741
157	325	1733
158	326	1724
159	326	1716
160	327	1706
161	328	1698
162	329	1690
163	329	1681
164	330	1673
165	331	1666
166	332	1658
167	333	1650
168	334	1642
169	334	1635
170	335	1627
171	336	1620
172	337	1613
173	339	1609
174	340	1603
175	340	1595
176	341	1588
177	342	1581
178	343	1574
179	344	1567
180	345	1561
181	345	1554
182	346	1547
183	347	1541
184	348	1534
185	349	1528
186	350	1521
187	350	1515
188	352	1510
189	352	1504
190	353	1499
191	354	1493
192	355	1486
193	356	1480
194	357	1474
195	357	1468
196	358	1462
197	359	1456
198	360	1450
199	361	1444
200	361	1438
201	362	1432
202	363	1427
203	364	1421
204	364	1415
205	365	1409
206	366	1404
207	367	1399
208	368	1394
209	369	1390
210	370	1386
211	371	1380
212	372	1375
213	372	1369
214	373	1364
215	374	1359
216	375	1354
217	376	1348
218	376	1343
219	377	1338
220	378	1333
221	379	1328
222	379	1323
223	380	1318
224	381	1314
225	382	1310
226	383	1306
227	384	1302
228	385	1298
229	386	1293
230	387	1289
231	388	1284
232	388	1279
233	389	1275
234	390	1270
235	391	1266
236	391	1261
237	392	1257
238	393	1252
239	394	1247
240	394	1243
241	395	1238
242	396	1235
243	397	1231
244	399	1230
245	400	1226
246	400	1222
247	401	1218
248	402	1214
249	403	1210
250	404	1206
251	404	1202
252	405	1198
253	406	1194
254	407	1190
255	408	1186
256	408	1182
257	409	1178
258	410	1174
259	411	1170
260	412	1167
261	413	1163
262	414	1160
263	414	1156
264	415	1152
265	416	1148
266	417	1145
267	417	1141
268	418	1137
269	419	1133
270	420	1130
271	420	1126
272	421	1122
273	422	1119
274	423	1115
275	423	1112
276	424	1108
277	425	1105
278	426	1102
279	428	1100
280	429	1097
281	429	1094
282	430	1091
283	431	1087
284	432	1084
285	433	1082
286	434	1079
287	435	1075
288	436	1072
289	436	1069
290	437	1066
291	438	1063
292	439	1059
293	440	1056
294	441	1054
295	442	1052
296	443	1049
297	444	1046
298	444	1042
299	445	1039
300	446	1036
301	447	1033
302	447	1030
303	448	1027
304	449	1024
305	450	1021
306	451	1018
307	451	1015
308	452	1012
309	453	1009
310	454	1006
311	454	1003
312	456	1001
313	457	999
314	458	997
315	459	994
316	460	991
317	461	989
318	461	986
319	462	983
320	463	980
321	464	977
322	464	974
323	465	971
324	466	968
325	467	966
326	468	963
327	469	961
328	469	958
329	471	956
330	472	954
331	473	952
332	474	949
333	474	946
334	475	944
335	476	941
336	477	938
337	477	936
338	478	933
339	479	930
340	480	928
341	481	925
342	481	922
343	482	920
344	483	917
345	484	915
346	485	912
347	486	911
348	487	909
349	488	907
350	489	905
351	490	902
352	491	900
353	491	897
354	492	894
355	493	892
356	494	889
357	495	887
358	495	885
359	496	882
360	497	880
361	497	877
362	498	875
363	499	872
364	500	870
365	501	868
366	502	866
367	503	864
368	504	862
369	504	859
370	505	857
371	506	854
372	507	852
373	507	850
374	508	847
375	509	845
376	510	842
377	510	840
378	511	838
379	512	836
380	513	833
381	513	831
382	514	829
383	515	827
384	516	825
385	518	824
386	519	822
387	520	820
388	520	818
389	521	816
390	523	814
391	523	812
392	524	810
393	525	808
394	526	805
395	526	803
396	527	801
397	528	799
398	529	797
399	530	795
400	531	794
401	532	792
402	533	789
403	533	787
404	534	785
405	535	783
406	536	781
407	536	779
408	537	777
409	538	775
410	539	772
411	540	770
412	540	768
413	541	766
414	542	764
415	543	762
416	543	760
417	544	758
418	545	756
419	546	754
420	547	752
421	548	751
422	549	749
423	550	747
424	550	745
425	551	743
426	552	741
427	553	739
428	553	737
429	554	735
430	555	733
431	556	731
432	557	729
433	558	728
434	559	726
435	560	724
436	561	723
437	562	721
438	563	719
439	563	717
440	564	715
441	565	713
442	566	711
443	566	709
444	567	707
445	568	706
446	569	704
447	570	702
448	570	700
449	571	698
450	572	696
451	573	694
452	574	693
453	575	691
454	576	690
455	577	688
456	578	686
457	578	685
458	579	683
459	580	681
460	581	679
461	581	677
462	582	676
463	583	674
464	584	672
465	585	670
466	585	668
467	586	666
468	587	665
469	588	663
470	589	661
471	590	660
472	591	658
473	592	657
474	593	655
475	593	653
476	594	652
477	595	650
478	596	648
479	597	646
480	597	645
481	598	643
482	599	641
483	600	640
484	601	638
485	602	636
486	602	634
487	603	633
488	604	631
489	606	631
490	608	630
491	608	628
492	609	627
493	610	625
494	611	623
495	612	622
496	613	620
497	613	618
498	614	617
499	615	615
500	616	613
501	617	612
502	617	610
503	619	609
504	620	608
505	621	607
506	622	605
507	623	604
508	624	602
509	625	600
510	626	599
511	626	597
512	627	596
513	628	594
514	629	592
515	630	591
516	630	589
517	631	587
518	632	586
519	633	585
520	635	584
521	636	583
522	637	581
523	638	579
524	639	578
525	640	576
526	640	575
527	641	573
528	642	571
529	643	570
530	643	568
531	644	567
532	645	565
533	646	564
534	647	562
535	648	561
536	649	559
537	650	558
538	651	557
539	652	555
540	652	553
541	653	552
542	654	550
543	655	549
544	655	547
545	656	546
546	657	544
547	658	542
548	659	541
549	659	539
550	660	538
551	661	537
552	662	535
553	663	534
554	665	533
555	666	532
556	667	530
557	667	529
558	668	527
559	669	525
560	670	524
561	670	522
562	671	521
563	672	519
564	673	518
565	673	516
566	674	515
567	675	513
568	676	512
569	676	510
570	677	509
571	678	508
572	679	506
573	680	505
574	681	503
575	682	502
576	683	500
577	683	499
578	684	497
579	685	496
580	686	494
581	687	493
582	687	492
583	688	490
584	689	489
585	690	487
586	690	486
587	691	484
588	692	483
589	693	481
590	694	480
591	695	479
592	696	477
593	697	476
594	697	475
595	698	473
596	699	472
597	700	470
598	701	469
599	702	468
600	703	466
601	704	465
602	704	464
603	705	462
604	706	461
605	707	459
606	708	458
607	709	457
608	710	455
609	711	454
610	711	453
611	712	451
612	713	450
613	714	448
614	715	447
615	715	446
616	716	444
617	717	443
618	718	442
619	719	440
620	719	439
621	720	437
622	721	436
623	722	435
624	722	433
625	723	432
626	724	431
627	726	430
628	727	428
629	727	427
630	728	426
631	729	424
632	730	423
633	731	422
634	731	420
635	732	419
636	733	417
637	734	416
638	734	415
639	735	413
640	736	412
641	737	411
642	738	409
643	739	408
644	740	407
645	741	406
646	741	404
647	742	403
648	743	402
649	744	400
650	745	399
651	746	398
652	746	396
653	747	395
654	748	394
655	749	392
656	749	391
657	750	390
658	751	388
659	752	387
660	753	386
661	754	385
662	755	384
663	756	382
664	757	381
665	758	380
666	758	378
667	759	377
668	760	376
669	761	374
670	762	373
671	762	372
672	763	370
673	764	369
674	765	368
675	765	367
676	766	365
677	767	364
678	768	363
679	769	362
680	770	360
681	770	359
682	771	358
683	772	356
684	773	355
685	774	354
686	774	353
687	775	351
688	776	350
689	777	349
690	777	347
691	778	346
692	779	345
693	780	343
694	780	342
695	781	341
696	782	340
697	783	338
698	784	337
699	785	336
700	786	335
701	787	334
702	787	332
703	788	331
704	789	330
705	790	329
706	791	327
707	791	326
708	792	325
709	793	324
710	794	322
711	794	321
712	795	320
713	796	319
714	797	317
715	798	316
716	799	315
717	800	314
718	801	313
719	802	312
720	803	310
721	804	309
722	804	308
723	805	307
724	806	305
725	807	304
726	807	303
727	808	302
728	809	300
729	810	299
730	811	298
731	811	297
732	813	296
733	813	294
734	814	293
735	815	292
736	816	291
737	817	290
738	818	289
739	819	287
740	820	286
741	821	285
742	821	284
743	822	283
744	823	281
745	824	280
746	824	279
747	825	278
748	826	276
749	827	275
750	828	274
751	829	273
752	830	272
753	831	271
754	831	269
755	832	268
756	833	267
757	834	266
758	835	265
759	835	263
760	836	262
761	837	261
762	838	260
763	838	259
764	839	257
765	840	256
766	841	255
767	842	254
768	843	253
769	844	252
770	845	251
771	846	249
772	847	248
773	847	247
774	848	246
775	849	245
776	850	244
777	851	242
778	851	241
779	852	240
780	853	239
781	854	238
782	854	236
783	855	235
784	856	234
785	857	233
786	858	232
787	859	231
788	860	229
789	860	228
790	861	227
791	862	226
